Area,Confirmed,Deaths,Recovered,Active,Population,infection_rate,death_rate,recovery_rate,Severity
Yemen,1691,483,833,375,29886897.0,0.005657997884490986,28.562980484920164,49.260792430514485,Low
New Zealand,1557,22,1514,21,5002100.0,0.03112692669078987,1.4129736673089275,97.23827874116891,Low
Suriname,1483,24,925,534,587154.0,0.25257428204525556,1.6183412002697235,62.37356709372893,Low
Tunisia,1455,50,1157,248,11830801.0,0.012298406506879795,3.436426116838488,79.51890034364261,Low
Latvia,1219,31,1045,143,1883936.0,0.0647049581302125,2.543068088597211,85.72600492206726,Low
Uruguay,1202,35,951,216,3474956.0,0.03459036603628938,2.9118136439267883,79.11813643926789,Low
Jordan,1176,11,1041,124,10213138.0,0.011514580533426652,0.935374149659864,88.5204081632653,Low
Liberia,1167,72,646,449,5068618.0,0.023024027456793942,6.169665809768637,55.35561268209083,Low
Georgia,1137,16,922,199,3988368.0,0.02850790097603832,1.4072119613016711,81.09058927000879,Low
Niger,1132,69,1027,36,24281433.0,0.004661998326046078,6.095406360424029,90.7243816254417,Low
Uganda,1128,2,986,140,45867852.0,0.002459238771416634,0.1773049645390071,87.41134751773049,Low
Burkina Faso,1100,53,926,121,20954852.0,0.005249380907104474,4.818181818181818,84.18181818181819,Low
Cyprus,1060,19,852,189,1208238.0,0.08773105960911674,1.7924528301886793,80.37735849056604,Low
Angola,950,41,242,667,32956300.0,0.0028826051468156316,4.315789473684211,25.473684210526315,Low
Chad,922,75,810,37,16467965.0,0.005598748843588142,8.134490238611713,87.85249457700651,Low
Andorra,907,52,803,52,77278.0,1.1736846191671626,5.733186328555679,88.53362734288865,Low
Togo,874,18,607,249,8296582.0,0.010534458648151732,2.059496567505721,69.45080091533181,Low
Sao Tome and Principe,865,14,734,117,219544.0,0.39399846955507783,1.6184971098265895,84.85549132947978,Low
Jamaica,853,10,714,129,2962478.0,0.02879346277001888,1.1723329425556859,83.70457209847598,Low
Botswana,739,2,63,674,2356075.0,0.03136572477531488,0.2706359945872801,8.525033829499323,Low
