Area,Confirmed,Recovered,recovery_rate,WHO Region
North Macedonia,10213,5564,54.47958484284735,Europe
Kosovo,7413,4027,54.32348576824497,Europe
Belize,48,26,54.166666666666664,Americas
Bulgaria,10621,5585,52.584502400903865,Europe
Sudan,11424,5939,51.98704481792718,Eastern Mediterranean
Rwanda,1879,975,51.889302820649284,Africa
El Salvador,15035,7778,51.73262387761889,Americas
Colombia,257101,131161,51.01535972244371,Americas
South Sudan,2305,1175,50.97613882863341,Africa
Yemen,1691,833,49.260792430514485,Eastern Mediterranean
Somalia,3196,1543,48.27909887359199,Eastern Mediterranean
Dominican Republic,64156,30204,47.07899494980984,Americas
Bosnia and Herzegovina,10498,4930,46.96132596685083,Europe
Guyana,389,181,46.52956298200514,Americas
Malawi,3664,1645,44.896288209606986,Africa
Eswatini,2316,1025,44.2573402417962,Africa
Nigeria,41180,18203,44.20349684312773,Africa
Lebanon,3882,1709,44.0236991241628,Eastern Mediterranean
Ethiopia,14547,6386,43.899085722142026,Africa
Kenya,17975,7833,43.57719054242003,Africa
Argentina,167416,72575,43.35009795957376,Americas
Ecuador,81161,34896,42.9960202560343,Americas
Israel,63985,27133,42.40525123075721,Europe
Guinea-Bissau,1954,803,41.095189355168884,Africa
Egypt,92482,34838,37.670033087519734,Eastern Mediterranean
France,220352,81212,36.855576532094105,Europe
Tanzania,509,183,35.952848722986246,Africa
West Bank and Gaza,10621,3752,35.326240466999344,Eastern Mediterranean
Seychelles,114,39,34.21052631578947,Africa
Central African Republic,4599,1546,33.616003479017174,Africa
Greece,4227,1374,32.50532292405961,Europe
Philippines,82040,26446,32.23549488054607,Western Pacific
USA,4290259,1325804,30.902656459668286,Americas
Bolivia,71181,21478,30.173782329554232,Americas
Montenegro,2893,809,27.964051157967507,Europe
Equatorial Guinea,3071,842,27.417779225008143,Africa
Belgium,66428,17452,26.272053953152287,Europe
Congo,3200,829,25.906249999999996,Africa
Angola,950,242,25.473684210526315,Africa
Lesotho,505,128,25.346534653465348,Africa
Costa Rica,15841,3824,24.139890158449592,Americas
Bahamas,382,91,23.82198952879581,Americas
Libya,2827,577,20.410328970640254,Eastern Mediterranean
Gambia,326,66,20.245398773006134,Africa
Zimbabwe,2704,542,20.04437869822485,Africa
Papua New Guinea,62,11,17.741935483870968,Western Pacific
Honduras,39741,5039,12.679600412672052,Americas
Botswana,739,63,8.525033829499323,Africa
Namibia,1843,101,5.480195333695062,Africa
United Kingdom,301708,1437,0.47628833176448754,Europe
Netherlands,53413,189,0.35384644187744557,Europe
Canada,116458,0,0.0,Americas
Mozambique,1701,0,0.0,Africa
Serbia,24141,0,0.0,Europe
Sweden,79395,0,0.0,Europe
Syria,674,0,0.0,Eastern Mediterranean
Timor-Leste,24,0,0.0,South-East Asia
