Date,New cases,New deaths,case_growth_pct,death_growth_pct
2020-01-22,0,0,,
2020-01-23,99,1,,
2020-01-24,287,8,289.8989898989899,800.0
2020-01-25,493,16,171.77700348432057,200.0
2020-01-26,684,14,138.7423935091278,87.5
2020-01-27,809,26,118.2748538011696,185.71428571428572
2020-01-28,2651,49,327.6885043263288,188.46153846153845
2020-01-29,588,2,22.180309317238777,4.081632653061225
2020-01-30,2068,38,351.70068027210885,1900.0
2020-01-31,1693,42,81.86653771760155,110.5263157894737
2020-02-01,2111,46,124.68989958653279,109.52380952380953
2020-02-02,4749,103,224.96447181430602,223.91304347826087
2020-02-03,3100,64,65.27690040008423,62.13592233009708
2020-02-04,4011,66,129.38709677419357,103.125
2020-02-05,3745,72,93.36823734729494,109.09090909090908
2020-02-06,3159,70,84.3524699599466,97.22222222222221
2020-02-07,3532,85,111.80753402975625,121.42857142857142
2020-02-08,2734,87,77.40656851642129,102.35294117647058
2020-02-09,3027,100,110.71689831748355,114.94252873563218
2020-02-10,2538,107,83.84539147670962,107.0
2020-02-11,2042,100,80.45705279747834,93.45794392523365
2020-02-12,1886,5,92.36043095004896,5.0
2020-02-13,13645,253,723.4888653234359,5060.0
2020-02-14,6484,152,47.51923781604984,60.079051383399204
2020-02-15,2075,143,32.001850709438614,94.07894736842105
2020-02-16,2114,104,101.87951807228916,72.72727272727273
2020-02-17,1936,98,91.57994323557237,94.23076923076923
2020-02-18,1794,140,92.66528925619835,142.85714285714286
2020-02-19,421,115,23.46711259754738,82.14285714285714
2020-02-20,547,123,129.92874109263659,106.95652173913044
2020-02-21,629,4,114.99085923217551,3.2520325203252036
2020-02-22,1761,207,279.96820349761526,5175.0
2020-02-23,323,10,18.34185122089722,4.830917874396135
2020-02-24,564,160,174.61300309597522,1600.0
2020-02-25,853,80,151.24113475177305,50.0
2020-02-26,963,60,112.89566236811255,75.0
2020-02-27,1364,43,141.64070612668743,71.66666666666667
2020-02-28,1377,57,100.95307917888563,132.5581395348837
2020-02-29,1895,69,137.61801016702978,121.05263157894737
2020-03-01,2384,54,125.8047493403694,78.26086956521739
2020-03-02,1974,89,82.80201342281879,164.8148148148148
2020-03-03,2577,75,130.54711246200608,84.26966292134831
2020-03-04,2299,95,89.21226232052774,126.66666666666666
2020-03-05,2791,93,121.40060896041757,97.89473684210527
2020-03-06,3943,112,141.27552848441417,120.43010752688173
2020-03-07,4038,99,102.40933299518133,88.39285714285714
2020-03-08,3954,244,97.91976225854383,246.46464646464645
2020-03-09,3900,184,98.63429438543247,75.40983606557377
2020-03-10,5024,279,128.82051282051282,151.6304347826087
2020-03-11,7663,344,152.52786624203821,123.29749103942653
2020-03-12,5750,305,75.03588672843534,88.66279069767442
2020-03-13,14405,497,250.52173913043475,162.95081967213113
2020-03-14,11106,417,77.09822978132593,83.90342052313883
2020-03-15,11146,641,100.36016567621107,153.7170263788969
2020-03-16,14659,680,131.51803337520187,106.08424336973479
2020-03-17,15838,804,108.0428405757555,118.23529411764706
2020-03-18,19586,897,123.6646041166814,111.56716417910448
2020-03-19,27918,1106,142.54059021750228,123.29988851727983
2020-03-20,29608,1478,106.05344222365498,133.63471971066906
2020-03-21,32306,1705,109.11240205349905,115.35859269282815
2020-03-22,33410,1697,103.41732185971647,99.5307917888563
2020-03-23,42165,1917,126.20472912301706,112.96405421331761
2020-03-24,41154,2268,97.6022767698328,118.30985915492957
2020-03-25,50817,2777,123.4800991398163,122.4426807760141
2020-03-26,62960,3007,123.89554676584606,108.28231904933381
2020-03-27,64400,3518,102.287166454892,116.99368141004322
2020-03-28,67657,3679,105.05745341614907,104.57646389994315
2020-03-29,59577,3473,88.05740721580916,94.40065235118239
2020-03-30,64639,4164,108.4965674673112,119.89634321911893
2020-03-31,76416,4844,118.21965067528892,116.33045148895293
2020-04-01,76214,5551,99.73565745393634,114.59537572254335
2020-04-02,81399,6305,106.80321200829243,113.5831381733021
2020-04-03,83155,5985,102.15727465939386,94.92466296590007
2020-04-04,80463,5841,96.76267211833324,97.59398496240601
2020-04-05,71718,5021,89.13165057231274,85.9613079952063
2020-04-06,72672,5832,101.33020998912407,116.1521609241187
2020-04-07,76873,7902,105.78076838397182,135.49382716049382
2020-04-08,83775,6735,108.97844496767395,85.23158694001519
2020-04-09,86625,7629,103.40196956132498,113.27394209354121
2020-04-10,87658,7272,101.1924963924964,95.32048761305545
2020-04-11,76965,6069,87.80145565721325,83.45709570957096
2020-04-12,96802,5731,125.77405314103814,94.43071346185533
2020-04-13,69594,5747,71.89314270366314,100.2791833885884
2020-04-14,69927,6898,100.47848952495906,120.02784061249348
2020-04-15,80829,8312,115.59054442490024,120.49869527399247
2020-04-16,96712,7283,119.6501255737421,87.62030798845043
2020-04-17,87724,8890,90.70642733063116,122.0650830701634
2020-04-18,73958,6471,84.30760111258037,72.78965129358829
2020-04-19,80523,4570,108.8766597257903,70.62277855045588
2020-04-20,73339,5443,91.0783254473877,119.10284463894966
2020-04-21,75250,7157,102.6057077407655,131.48998713944516
2020-04-22,78994,6755,104.97541528239202,94.38312141958922
2020-04-23,89013,6850,112.68324176519735,101.4063656550703
2020-04-24,96974,6674,108.94363744621572,97.43065693430657
2020-04-25,84932,5578,87.58223853816487,83.5780641294576
2020-04-26,72948,3883,85.88988838129326,69.61276443169595
2020-04-27,68704,4649,94.18215715304052,119.72701519443729
2020-04-28,75404,6463,109.75197950628784,139.0191439019144
2020-04-29,79558,6768,105.50899156543419,104.71917066377843
2020-04-30,83681,5962,105.18238266421982,88.09101654846336
2020-05-01,87046,5177,104.02122345574266,86.83327742368333
2020-05-02,81853,5325,94.03418881970453,102.85879853196833
2020-05-03,77636,3453,94.84808131650641,64.84507042253522
2020-05-04,76078,4128,97.9931990313772,119.54821894005212
2020-05-05,79989,5871,105.14077657141354,142.2238372093023
2020-05-06,90022,6669,112.54297465901561,113.59223300970874
2020-05-07,90669,5409,100.71871320343917,81.10661268556005
2020-05-08,92997,5568,102.5675809813718,102.93954520244037
2020-05-09,85846,4265,92.31050463993462,76.59841954022988
2020-05-10,76255,3566,88.82766814994292,83.61078546307151
2020-05-11,76298,3473,100.05638974493476,97.39203589455973
2020-05-12,83619,5547,109.59527117355631,159.7178232076015
2020-05-13,84917,5228,101.55227878831366,94.24914368126916
2020-05-14,97106,5268,114.3540162747153,100.76511094108646
2020-05-15,96349,5215,99.22043951970012,98.99392558845862
2020-05-16,95412,4171,99.02749379858639,79.98082454458293
2020-05-17,78509,3329,82.28419905253008,79.81299448573483
2020-05-18,88284,3291,112.45080181889975,98.85851607089215
2020-05-19,96633,4784,109.45697974717956,145.36615010635066
2020-05-20,103028,4885,106.61782206906543,102.11120401337791
2020-05-21,106438,4786,103.30977986566758,97.97338792221085
2020-05-22,106900,5284,100.43405550649204,110.40534893439198
2020-05-23,105289,3989,98.49298409728718,75.49205147615443
2020-05-24,95326,3140,90.53747305036613,78.7164702933066
2020-05-25,87335,1178,91.61718733608879,37.51592356687898
2020-05-26,92742,4203,106.19110322322094,356.79117147707984
2020-05-27,102600,5213,110.6294882577473,124.03045443730669
2020-05-28,119314,4701,116.29044834307993,90.1784001534625
2020-05-29,121167,4742,101.55304490671672,100.87215486066793
2020-05-30,137833,4156,113.75457013873414,87.64234500210881
2020-05-31,107552,2888,78.0306602918024,69.48989412897016
2020-06-01,95195,3068,88.51067390657542,106.23268698060942
2020-06-02,121577,4823,127.71364042229109,157.20338983050848
2020-06-03,119389,5572,98.20031749426289,115.52975326560232
2020-06-04,126937,5149,106.32219048656073,92.40847092605887
2020-06-05,130863,4776,103.09287284243365,92.75587492717032
2020-06-06,135942,3881,103.88115815776804,81.26046901172529
2020-06-07,112259,2742,82.57859969692957,70.65189384179335
2020-06-08,102225,3697,91.06174115215705,134.82859226841722
2020-06-09,124342,4922,121.63560772805087,133.13497430348932
2020-06-10,134025,5205,107.78739283588811,105.74969524583501
2020-06-11,138114,4774,103.05092333519865,91.71950048030739
2020-06-12,129094,4297,93.4691631550748,90.00837871805614
